steps largest score
1.059000000000000000e+03 1.024000000000000000e+03 1.662400000000000000e+04
1.578000000000000000e+03 2.048000000000000000e+03 2.801200000000000000e+04
1.028000000000000000e+03 1.024000000000000000e+03 1.629600000000000000e+04
9.930000000000000000e+02 1.024000000000000000e+03 1.583200000000000000e+04
1.051000000000000000e+03 1.024000000000000000e+03 1.656400000000000000e+04
1.797000000000000000e+03 2.048000000000000000e+03 3.276800000000000000e+04
1.062000000000000000e+03 1.024000000000000000e+03 1.666800000000000000e+04
1.057000000000000000e+03 1.024000000000000000e+03 1.660400000000000000e+04
1.029000000000000000e+03 1.024000000000000000e+03 1.631200000000000000e+04
1.072000000000000000e+03 1.024000000000000000e+03 1.679200000000000000e+04
5.490000000000000000e+02 5.120000000000000000e+02 7.404000000000000000e+03
8.040000000000000000e+02 1.024000000000000000e+03 1.252800000000000000e+04
1.793000000000000000e+03 2.048000000000000000e+03 3.266400000000000000e+04
1.045000000000000000e+03 1.024000000000000000e+03 1.649200000000000000e+04
1.024000000000000000e+03 1.024000000000000000e+03 1.627200000000000000e+04
1.076000000000000000e+03 1.024000000000000000e+03 1.682400000000000000e+04
1.843000000000000000e+03 2.048000000000000000e+03 3.322800000000000000e+04
1.020000000000000000e+03 1.024000000000000000e+03 1.612800000000000000e+04
8.280000000000000000e+02 1.024000000000000000e+03 1.280000000000000000e+04
1.055000000000000000e+03 1.024000000000000000e+03 1.659600000000000000e+04
1.031000000000000000e+03 1.024000000000000000e+03 1.634800000000000000e+04
1.046000000000000000e+03 1.024000000000000000e+03 1.650800000000000000e+04
1.070000000000000000e+03 1.024000000000000000e+03 1.678000000000000000e+04
8.080000000000000000e+02 1.024000000000000000e+03 1.255200000000000000e+04
5.510000000000000000e+02 5.120000000000000000e+02 7.428000000000000000e+03
1.818000000000000000e+03 2.048000000000000000e+03 3.294000000000000000e+04
7.760000000000000000e+02 1.024000000000000000e+03 1.222400000000000000e+04
9.580000000000000000e+02 1.024000000000000000e+03 1.511600000000000000e+04
1.316000000000000000e+03 2.048000000000000000e+03 2.380800000000000000e+04
5.310000000000000000e+02 5.120000000000000000e+02 7.260000000000000000e+03
8.580000000000000000e+02 1.024000000000000000e+03 1.322800000000000000e+04
9.280000000000000000e+02 1.024000000000000000e+03 1.480000000000000000e+04
9.820000000000000000e+02 1.024000000000000000e+03 1.572400000000000000e+04
5.340000000000000000e+02 5.120000000000000000e+02 7.276000000000000000e+03
1.054000000000000000e+03 1.024000000000000000e+03 1.658800000000000000e+04
1.066000000000000000e+03 1.024000000000000000e+03 1.674800000000000000e+04
5.470000000000000000e+02 5.120000000000000000e+02 7.404000000000000000e+03
1.914000000000000000e+03 2.048000000000000000e+03 3.489200000000000000e+04
5.640000000000000000e+02 5.120000000000000000e+02 7.600000000000000000e+03
4.260000000000000000e+02 5.120000000000000000e+02 5.644000000000000000e+03
1.554000000000000000e+03 2.048000000000000000e+03 2.774000000000000000e+04
1.815000000000000000e+03 2.048000000000000000e+03 3.289600000000000000e+04
1.042000000000000000e+03 1.024000000000000000e+03 1.647600000000000000e+04
1.054000000000000000e+03 1.024000000000000000e+03 1.658800000000000000e+04
1.072000000000000000e+03 1.024000000000000000e+03 1.681600000000000000e+04
1.051000000000000000e+03 1.024000000000000000e+03 1.657200000000000000e+04
1.501000000000000000e+03 2.048000000000000000e+03 2.706400000000000000e+04
1.451000000000000000e+03 2.048000000000000000e+03 2.622000000000000000e+04
1.560000000000000000e+03 2.048000000000000000e+03 2.778400000000000000e+04
2.048000000000000000e+03 2.048000000000000000e+03 3.676000000000000000e+04
1.030000000000000000e+03 1.024000000000000000e+03 1.631600000000000000e+04
1.053000000000000000e+03 1.024000000000000000e+03 1.657200000000000000e+04
1.048000000000000000e+03 1.024000000000000000e+03 1.654400000000000000e+04
2.002000000000000000e+03 2.048000000000000000e+03 3.618800000000000000e+04
1.045000000000000000e+03 1.024000000000000000e+03 1.652800000000000000e+04
1.052000000000000000e+03 1.024000000000000000e+03 1.662400000000000000e+04
1.077000000000000000e+03 1.024000000000000000e+03 1.685600000000000000e+04
6.060000000000000000e+02 5.120000000000000000e+02 8.140000000000000000e+03
9.800000000000000000e+02 1.024000000000000000e+03 1.546400000000000000e+04
5.460000000000000000e+02 5.120000000000000000e+02 7.388000000000000000e+03
1.573000000000000000e+03 2.048000000000000000e+03 2.798400000000000000e+04
1.047000000000000000e+03 1.024000000000000000e+03 1.651200000000000000e+04
1.017000000000000000e+03 1.024000000000000000e+03 1.610400000000000000e+04
1.025000000000000000e+03 1.024000000000000000e+03 1.628000000000000000e+04
9.910000000000000000e+02 1.024000000000000000e+03 1.582000000000000000e+04
1.055000000000000000e+03 1.024000000000000000e+03 1.659200000000000000e+04
1.560000000000000000e+03 2.048000000000000000e+03 2.780800000000000000e+04
1.041000000000000000e+03 1.024000000000000000e+03 1.648000000000000000e+04
1.444000000000000000e+03 2.048000000000000000e+03 2.608800000000000000e+04
9.670000000000000000e+02 1.024000000000000000e+03 1.517600000000000000e+04
1.123000000000000000e+03 1.024000000000000000e+03 1.765200000000000000e+04
1.822000000000000000e+03 2.048000000000000000e+03 3.297200000000000000e+04
1.081000000000000000e+03 1.024000000000000000e+03 1.687600000000000000e+04
1.005000000000000000e+03 1.024000000000000000e+03 1.596400000000000000e+04
1.045000000000000000e+03 1.024000000000000000e+03 1.649200000000000000e+04
2.026000000000000000e+03 2.048000000000000000e+03 3.655600000000000000e+04
9.300000000000000000e+02 1.024000000000000000e+03 1.481200000000000000e+04
1.567000000000000000e+03 2.048000000000000000e+03 2.785600000000000000e+04
5.470000000000000000e+02 5.120000000000000000e+02 7.396000000000000000e+03
9.860000000000000000e+02 1.024000000000000000e+03 1.575600000000000000e+04
1.032000000000000000e+03 1.024000000000000000e+03 1.641200000000000000e+04
1.450000000000000000e+03 2.048000000000000000e+03 2.613200000000000000e+04
1.036000000000000000e+03 1.024000000000000000e+03 1.644400000000000000e+04
2.018000000000000000e+03 2.048000000000000000e+03 3.633200000000000000e+04
1.039000000000000000e+03 1.024000000000000000e+03 1.646000000000000000e+04
9.970000000000000000e+02 1.024000000000000000e+03 1.586400000000000000e+04
5.440000000000000000e+02 5.120000000000000000e+02 7.376000000000000000e+03
1.047000000000000000e+03 1.024000000000000000e+03 1.651600000000000000e+04
1.082000000000000000e+03 1.024000000000000000e+03 1.689200000000000000e+04
1.552000000000000000e+03 2.048000000000000000e+03 2.772800000000000000e+04
7.030000000000000000e+02 1.024000000000000000e+03 1.102000000000000000e+04
1.559000000000000000e+03 2.048000000000000000e+03 2.777600000000000000e+04
1.429000000000000000e+03 2.048000000000000000e+03 2.595600000000000000e+04
1.045000000000000000e+03 1.024000000000000000e+03 1.649200000000000000e+04
2.008000000000000000e+03 2.048000000000000000e+03 3.623200000000000000e+04
1.698000000000000000e+03 2.048000000000000000e+03 3.119600000000000000e+04
1.056000000000000000e+03 1.024000000000000000e+03 1.660000000000000000e+04
1.047000000000000000e+03 1.024000000000000000e+03 1.654000000000000000e+04
1.576000000000000000e+03 2.048000000000000000e+03 2.794400000000000000e+04
1.046000000000000000e+03 1.024000000000000000e+03 1.650800000000000000e+04
9.950000000000000000e+02 1.024000000000000000e+03 1.585200000000000000e+04
8.520000000000000000e+02 1.024000000000000000e+03 1.391600000000000000e+04
1.442000000000000000e+03 2.048000000000000000e+03 2.607600000000000000e+04
1.079000000000000000e+03 1.024000000000000000e+03 1.698800000000000000e+04
1.796000000000000000e+03 2.048000000000000000e+03 3.273600000000000000e+04
6.770000000000000000e+02 1.024000000000000000e+03 1.072800000000000000e+04
1.431000000000000000e+03 2.048000000000000000e+03 2.598000000000000000e+04
1.047000000000000000e+03 1.024000000000000000e+03 1.651200000000000000e+04
1.590000000000000000e+03 2.048000000000000000e+03 2.822000000000000000e+04
7.870000000000000000e+02 1.024000000000000000e+03 1.238000000000000000e+04
1.559000000000000000e+03 2.048000000000000000e+03 2.777600000000000000e+04
8.040000000000000000e+02 1.024000000000000000e+03 1.252800000000000000e+04
9.560000000000000000e+02 1.024000000000000000e+03 1.510400000000000000e+04
1.579000000000000000e+03 2.048000000000000000e+03 2.802000000000000000e+04
1.572000000000000000e+03 2.048000000000000000e+03 2.789600000000000000e+04
9.860000000000000000e+02 1.024000000000000000e+03 1.578400000000000000e+04
1.942000000000000000e+03 2.048000000000000000e+03 3.519600000000000000e+04
1.510000000000000000e+03 2.048000000000000000e+03 2.719200000000000000e+04
5.680000000000000000e+02 5.120000000000000000e+02 7.648000000000000000e+03
9.930000000000000000e+02 1.024000000000000000e+03 1.583200000000000000e+04
6.270000000000000000e+02 5.120000000000000000e+02 8.368000000000000000e+03
4.780000000000000000e+02 5.120000000000000000e+02 6.556000000000000000e+03
1.084000000000000000e+03 1.024000000000000000e+03 1.690400000000000000e+04
1.075000000000000000e+03 1.024000000000000000e+03 1.681600000000000000e+04
1.511000000000000000e+03 2.048000000000000000e+03 2.713600000000000000e+04
1.056000000000000000e+03 1.024000000000000000e+03 1.660000000000000000e+04
1.000000000000000000e+03 1.024000000000000000e+03 1.604800000000000000e+04
1.539000000000000000e+03 2.048000000000000000e+03 2.761200000000000000e+04
5.540000000000000000e+02 5.120000000000000000e+02 7.524000000000000000e+03
9.920000000000000000e+02 1.024000000000000000e+03 1.588400000000000000e+04
9.110000000000000000e+02 1.024000000000000000e+03 1.460400000000000000e+04
1.048000000000000000e+03 1.024000000000000000e+03 1.654400000000000000e+04
1.049000000000000000e+03 1.024000000000000000e+03 1.652800000000000000e+04
1.032000000000000000e+03 1.024000000000000000e+03 1.636400000000000000e+04
1.565000000000000000e+03 2.048000000000000000e+03 2.783600000000000000e+04
8.300000000000000000e+02 1.024000000000000000e+03 1.281200000000000000e+04
1.586000000000000000e+03 2.048000000000000000e+03 2.806800000000000000e+04
1.761000000000000000e+03 2.048000000000000000e+03 3.221600000000000000e+04
1.560000000000000000e+03 2.048000000000000000e+03 2.778400000000000000e+04
9.540000000000000000e+02 1.024000000000000000e+03 1.508400000000000000e+04
8.300000000000000000e+02 1.024000000000000000e+03 1.281200000000000000e+04
1.572000000000000000e+03 2.048000000000000000e+03 2.789600000000000000e+04
1.067000000000000000e+03 1.024000000000000000e+03 1.670800000000000000e+04
1.042000000000000000e+03 1.024000000000000000e+03 1.647600000000000000e+04
8.130000000000000000e+02 1.024000000000000000e+03 1.261600000000000000e+04
1.546000000000000000e+03 2.048000000000000000e+03 2.768800000000000000e+04
1.842000000000000000e+03 2.048000000000000000e+03 3.319600000000000000e+04
1.537000000000000000e+03 2.048000000000000000e+03 2.760000000000000000e+04
9.830000000000000000e+02 1.024000000000000000e+03 1.572800000000000000e+04
1.063000000000000000e+03 1.024000000000000000e+03 1.664800000000000000e+04
2.040000000000000000e+03 2.048000000000000000e+03 3.670400000000000000e+04
1.064000000000000000e+03 1.024000000000000000e+03 1.668000000000000000e+04
1.561000000000000000e+03 2.048000000000000000e+03 2.778800000000000000e+04
9.490000000000000000e+02 1.024000000000000000e+03 1.497200000000000000e+04
1.941000000000000000e+03 2.048000000000000000e+03 3.519200000000000000e+04
8.210000000000000000e+02 1.024000000000000000e+03 1.272800000000000000e+04
1.563000000000000000e+03 2.048000000000000000e+03 2.783600000000000000e+04
1.035000000000000000e+03 1.024000000000000000e+03 1.640000000000000000e+04
1.077000000000000000e+03 1.024000000000000000e+03 1.695200000000000000e+04
1.791000000000000000e+03 2.048000000000000000e+03 3.265200000000000000e+04
1.763000000000000000e+03 2.048000000000000000e+03 3.222400000000000000e+04
1.842000000000000000e+03 2.048000000000000000e+03 3.322400000000000000e+04
1.610000000000000000e+03 2.048000000000000000e+03 2.846000000000000000e+04
1.815000000000000000e+03 2.048000000000000000e+03 3.292400000000000000e+04
1.049000000000000000e+03 1.024000000000000000e+03 1.652400000000000000e+04
1.050000000000000000e+03 1.024000000000000000e+03 1.655600000000000000e+04
9.330000000000000000e+02 1.024000000000000000e+03 1.482800000000000000e+04
1.025000000000000000e+03 1.024000000000000000e+03 1.628000000000000000e+04
1.558000000000000000e+03 2.048000000000000000e+03 2.778800000000000000e+04
1.060000000000000000e+03 1.024000000000000000e+03 1.663200000000000000e+04
1.840000000000000000e+03 2.048000000000000000e+03 3.317600000000000000e+04
1.461000000000000000e+03 2.048000000000000000e+03 2.628400000000000000e+04
1.103000000000000000e+03 1.024000000000000000e+03 1.723200000000000000e+04
1.028000000000000000e+03 1.024000000000000000e+03 1.635200000000000000e+04
1.049000000000000000e+03 1.024000000000000000e+03 1.655200000000000000e+04
5.430000000000000000e+02 5.120000000000000000e+02 7.372000000000000000e+03
1.050000000000000000e+03 1.024000000000000000e+03 1.655600000000000000e+04
1.800000000000000000e+03 2.048000000000000000e+03 3.271200000000000000e+04
9.860000000000000000e+02 1.024000000000000000e+03 1.575600000000000000e+04
5.320000000000000000e+02 5.120000000000000000e+02 7.264000000000000000e+03
1.080000000000000000e+03 1.024000000000000000e+03 1.687200000000000000e+04
1.548000000000000000e+03 2.048000000000000000e+03 2.769600000000000000e+04
1.055000000000000000e+03 1.024000000000000000e+03 1.659600000000000000e+04
1.557000000000000000e+03 2.048000000000000000e+03 2.775600000000000000e+04
2.023000000000000000e+03 2.048000000000000000e+03 3.636000000000000000e+04
9.530000000000000000e+02 1.024000000000000000e+03 1.508000000000000000e+04
1.056000000000000000e+03 1.024000000000000000e+03 1.660000000000000000e+04
9.340000000000000000e+02 1.024000000000000000e+03 1.484400000000000000e+04
1.054000000000000000e+03 1.024000000000000000e+03 1.658800000000000000e+04
1.059000000000000000e+03 1.024000000000000000e+03 1.667200000000000000e+04
1.516000000000000000e+03 2.048000000000000000e+03 2.724800000000000000e+04
1.553000000000000000e+03 2.048000000000000000e+03 2.767600000000000000e+04
1.051000000000000000e+03 1.024000000000000000e+03 1.657200000000000000e+04
1.311000000000000000e+03 2.048000000000000000e+03 2.375600000000000000e+04
1.047000000000000000e+03 1.024000000000000000e+03 1.654000000000000000e+04
1.607000000000000000e+03 2.048000000000000000e+03 2.844400000000000000e+04
9.800000000000000000e+02 1.024000000000000000e+03 1.571600000000000000e+04
5.440000000000000000e+02 5.120000000000000000e+02 7.376000000000000000e+03
8.110000000000000000e+02 1.024000000000000000e+03 1.259200000000000000e+04
1.557000000000000000e+03 2.048000000000000000e+03 2.776800000000000000e+04
8.370000000000000000e+02 1.024000000000000000e+03 1.286000000000000000e+04
1.046000000000000000e+03 1.024000000000000000e+03 1.650800000000000000e+04
9.980000000000000000e+02 1.024000000000000000e+03 1.586800000000000000e+04
7.910000000000000000e+02 1.024000000000000000e+03 1.241200000000000000e+04
1.049000000000000000e+03 1.024000000000000000e+03 1.655200000000000000e+04
1.044000000000000000e+03 1.024000000000000000e+03 1.649600000000000000e+04
9.310000000000000000e+02 1.024000000000000000e+03 1.481600000000000000e+04
1.024000000000000000e+03 1.024000000000000000e+03 1.627200000000000000e+04
1.037000000000000000e+03 1.024000000000000000e+03 1.644000000000000000e+04
1.042000000000000000e+03 1.024000000000000000e+03 1.647600000000000000e+04
