Step 1600, max 2048, Score 28216, 
Step 1027, max 1024, Score 16288, 
Step 531, max 512, Score 7260, 
Step 1054, max 1024, Score 16588, 
Step 1056, max 1024, Score 16600, 
Step 2072, max 2048, Score 37016, 
Step 1057, max 1024, Score 16604, 
Step 1791, max 2048, Score 32708, 
Step 795, max 1024, Score 12432, 
Step 1042, max 1024, Score 16476, 
Step 1044, max 1024, Score 16488, 
Step 1042, max 1024, Score 16476, 
Step 924, max 1024, Score 14752, 
Step 558, max 512, Score 7500, 
Step 1057, max 1024, Score 16616, 
Step 1062, max 1024, Score 16668, 
Step 1818, max 2048, Score 32940, 
Step 1569, max 2048, Score 27868, 
Step 568, max 512, Score 7624, 
Step 1094, max 1024, Score 17028, 
Step 1590, max 2048, Score 28124, 
Step 1567, max 2048, Score 27856, 
Step 2064, max 2048, Score 36952, 
Step 1828, max 2048, Score 33016, 
Step 2055, max 2048, Score 36892, 
Step 1051, max 1024, Score 16572, 
Step 1058, max 1024, Score 16636, 
Step 1053, max 1024, Score 16572, 
Step 1069, max 1024, Score 17136, 
Step 1814, max 2048, Score 32892, 
Step 539, max 512, Score 7316, 
Step 1067, max 1024, Score 16876, 
Step 1985, max 2048, Score 35992, 
Step 1034, max 1024, Score 16252, 
Step 1576, max 2048, Score 28000, 
Step 1105, max 1024, Score 17244, 
Step 1067, max 1024, Score 16752, 
Step 1027, max 1024, Score 16316, 
Step 1754, max 2048, Score 32176, 
Step 1050, max 1024, Score 16556, 
Step 1056, max 1024, Score 16600, 
Step 1039, max 1024, Score 16460, 
Step 1565, max 2048, Score 27848, 
Step 1055, max 1024, Score 16596, 
Step 1053, max 1024, Score 16572, 
Step 1819, max 2048, Score 32944, 
Step 558, max 512, Score 7560, 
Step 1056, max 1024, Score 16600, 
Step 2972, max 4096, Score 59840, 
Step 2001, max 2048, Score 36184, 
Step 1048, max 1024, Score 16544, 
Step 1069, max 1024, Score 16776, 
Step 1586, max 2048, Score 28068, 
Step 3494, max 4096, Score 71228, 
Step 956, max 1024, Score 15096, 
Step 1535, max 2048, Score 27532, 
Step 2074, max 2048, Score 37052, 
Step 548, max 512, Score 7456, 
Step 2060, max 2048, Score 36920, 
Step 1898, max 2048, Score 34636, 
Step 1058, max 1024, Score 16620, 
Step 1561, max 2048, Score 27816, 
Step 1850, max 2048, Score 33276, 
Step 922, max 1024, Score 14732, 
Step 1338, max 2048, Score 24044, 
Step 1045, max 1024, Score 16528, 
Step 1711, max 2048, Score 31312, 
Step 1590, max 2048, Score 28124, 
Step 1813, max 2048, Score 32912, 
Step 1571, max 2048, Score 27888, 
Step 1441, max 2048, Score 26072, 
Step 1565, max 2048, Score 27848, 
Step 1074, max 1024, Score 16812, 
Step 1063, max 1024, Score 16708, 
Step 1032, max 1024, Score 16412, 
Step 1572, max 2048, Score 27896, 
Step 1584, max 2048, Score 28056, 
Step 1606, max 2048, Score 28380, 
Step 2060, max 2048, Score 36928, 
Step 1567, max 2048, Score 27856, 
Step 598, max 512, Score 7964, 
Step 937, max 1024, Score 14896, 
Step 1071, max 1024, Score 16728, 
Step 1856, max 2048, Score 33344, 
Step 1513, max 2048, Score 27148, 
Step 1933, max 2048, Score 35128, 
Step 1041, max 1024, Score 16472, 
Step 1574, max 2048, Score 27908, 
Step 1049, max 1024, Score 16552, 
Step 2088, max 2048, Score 37224, 
Step 1560, max 2048, Score 27808, 
Step 1045, max 1024, Score 16504, 
Step 1034, max 1024, Score 16396, 
Step 1566, max 2048, Score 27900, 
Step 929, max 1024, Score 14864, 
Step 536, max 512, Score 7296, 
Step 2011, max 2048, Score 36276, 
Step 1083, max 1024, Score 17260, 
Step 1564, max 2048, Score 27832, 
Step 1054, max 1024, Score 16588, 
